model,auc_roc,auc_pr,logloss,brier,acc,f1,macro_f1,mcc
rf_raw@0.50,1.0,0.9999999999999999,0.05366875685516667,0.006146817491937014,1.0,1.0,1.0,1.0
rf_cal@0.50,1.0,1.0,0.4942435119627566,0.18962389992445444,0.5021817491937014,0.0,0.3343015913109371,0.0
