Stage,X_rows,X_cols,y_len,class0_count,class0_pct,class1_count,class1_pct
Train,6348,25,6348,5743,90.47,605,9.53
Validation,2116,25,2116,1915,90.5,201,9.5
Test,2117,25,2117,1915,90.46,202,9.54
