bin_left,bin_right,bin_center,count
-0.5,0.5,0.0,55
0.5,1.5,1.0,176
1.5,2.5,2.0,572
2.5,3.5,3.0,873
3.5,4.5,4.0,1308
4.5,5.5,5.0,1250
5.5,6.5,6.0,1389
6.5,7.5,7.0,553
7.5,8.5,8.0,1545
8.5,9.5,9.0,362
9.5,10.5,10.0,1118
10.5,11.5,11.0,89
11.5,12.5,12.0,647
12.5,13.5,13.0,61
13.5,14.5,14.0,176
14.5,15.5,15.0,139
15.5,16.5,16.0,85
16.5,17.5,17.0,13
17.5,18.5,18.0,46
18.5,19.5,19.0,7
19.5,20.5,20.0,117
